Num,BuildingCode,Name,Division,Floor,RestRoom,Room,Info
0,AdamsHall,아담스관,4,B1,Both,B101,관리실
1,,,,,,B102,동양화과 학과사무실
2,,,,,,B103,사진미디어과 학과사무실
3,,,,,,B106,사진미디어 스튜디오(1)
4,,,,,,B108,사진암실
5,,,,,,B109,사진미디어 기자재실
6,,,,,,B109-1,사진미디어 프로젝트실
7,,,,,,B110,창고
8,,,,,,B114,창고
9,,,,1F,Both,101,미술대학 행정팀
10,,,,,,101-2,미술대학 학장실
11,,,,,,102,교수/강사휴게실
12,,,,,,105,시각디자인과 실기실(1)
13,,,,,,105-1,시각디자인과 학과사무실
14,,,,,,106,시각디자인과 실기실(2)
15,,,,,,107,시각디자인과 실기실(3)
16,,,,,,108,시각디자인과 실기실(4)
17,,,,,,124,학생상담실
18,,,,2F,Female,201,계명창의역량개발실
19,,,,,,202,회화과 실기실(1)
20,,,,,,204,회화과 사무실
21,,,,,,205,회화과 실기실(2)
22,,,,,,206,회화전공 4학년 실기실
23,,,,,,208,회화과 실기실(3)
24,,,,,,209,회화 실기실
25,,,,,,210,시각디자인과 실기실(5)
26,,,,,,211,교육대학원 미술교육전공실기실
27,,,,,,212,미술대학 공동실기실
28,,,,3F,None,301,회화과 실기실(4)
29,,,,,,302,회화과 실기실(5)
30,,,,,,303,모델 페인팅 연습실
31,,,,,,304,Actice Learning 강의실
32,,,,,,305,회화과 실기실(6)
33,DongsanHall,동산관,5,B1,Both,B102,열람실
34,,,,,,B103,서고
35,,,,,,B104,세미나실/동산관 열람실
36,,,,1F,None,102,창업지원단 입소공간
37,,,,,,113,화장실
38,,,,,,114,창고
39,,,,,,116,시청각실
40,,,,,,117,관리실
41,,,,,,121,창고
42,,,,,,141,다쏘
43,,,,,,143,창업지원단 행정팀
44,,,,,,145,창업지원단 교육실
45,,,,2F,None,EMPTY,도서 자동 반납 시스템
46,,,,,,220,화이트갤러리
47,,,,,,226,블랙갤러리
48,,,,,,232,국제미술관 관장실/행정실
49,,,,,,232-1,접견실
50,,,,3F,Both,EMPTY,도서관 구조
51,,,,5F~8F,None,EMPTY,대구경북연구원
52,DongseoCenter,동서문화관,6,B1,Female,B101-1,공모전실1(디자인실)
53,,,,,,B101-2,공모전실2(패션마케팅)
54,,,,,,B103-3,공모전실3(텍스타일)
55,,,,,,B104,세미나실
56,,,,,,B105,화장실(여)
57,,,,,,B106,창고
58,,,,,,B107,로비(락커룸)
59,,,,,,B107-4,?
60,,,,,,B107-5+F88F62:F101FF62:F139,소화전물탱크
